"Time stamp","EGADE Campus Santa Fe  - Total  (kW)"
"2018-09-01 00:00","4.19"
"2018-09-01 00:15","2.24"
"2018-09-01 00:30","2.37"
"2018-09-01 00:45","5.82"
"2018-09-01 01:00","7.35"
"2018-09-01 01:15","3.07"
"2018-09-01 01:30","2.22"
"2018-09-01 01:45","2.23"
"2018-09-01 02:00","3.87"
"2018-09-01 02:15","4.65"
"2018-09-01 02:30","2.28"
"2018-09-01 02:45","2.24"
"2018-09-01 03:00","2.24"
"2018-09-01 03:15","2.23"
"2018-09-01 03:30","3.78"
"2018-09-01 03:45","3.68"
"2018-09-01 04:00","3.04"
"2018-09-01 04:15","2.24"
"2018-09-01 04:30","2.24"
"2018-09-01 04:45","2.24"
"2018-09-01 05:00","3.53"
"2018-09-01 05:15","3.22"
"2018-09-01 05:30","2.25"
"2018-09-01 05:45","2.25"
"2018-09-01 06:00","2.24"
"2018-09-01 06:15","2.25"
"2018-09-01 06:30","2.25"
"2018-09-01 06:45","3.13"
"2018-09-01 07:00","4.96"
"2018-09-01 07:15","2.24"
"2018-09-01 07:30","2.23"
"2018-09-01 07:45","2.24"
"2018-09-01 08:00","2.23"
"2018-09-01 08:15","3.53"
"2018-09-01 08:30","5.19"
"2018-09-01 08:45","8.42"
"2018-09-01 09:00","3.34"
"2018-09-01 09:15","3.66"
"2018-09-01 09:30","11.59"
"2018-09-01 09:45","16.04"
"2018-09-01 10:00","14.13"
"2018-09-01 10:15","14.33"
"2018-09-01 10:30","14.39"
"2018-09-01 10:45","12.43"
"2018-09-01 11:00","10.3"
"2018-09-01 11:15","11.43"
"2018-09-01 11:30","17.39"
"2018-09-01 11:45","16.71"
"2018-09-01 12:00","14.27"
"2018-09-01 12:15","12.59"
"2018-09-01 12:30","17.06"
"2018-09-01 12:45","15.1"
"2018-09-01 13:00","13.31"
"2018-09-01 13:15","14.16"
"2018-09-01 13:30","14.44"
"2018-09-01 13:45","20.19"
"2018-09-01 14:00","20.7"
