"Time stamp","CEDETEC - CCM  - Total  (kW)"
"2018-09-24 00:00","1.79"
"2018-09-24 00:05","1.25"
"2018-09-24 00:10","1.47"
"2018-09-24 00:15","1.54"
"2018-09-24 00:20","1.52"
"2018-09-24 00:25","1.68"
"2018-09-24 00:30","1.4"
"2018-09-24 00:35","1.45"
"2018-09-24 00:40","1.52"
"2018-09-24 00:45","1.68"
"2018-09-24 00:50","1.48"
"2018-09-24 00:55","1.42"
"2018-09-24 01:00","1.36"
"2018-09-24 01:05","1.49"
"2018-09-24 01:10","1.65"
"2018-09-24 01:15","1.73"
"2018-09-24 01:20","1.38"
"2018-09-24 01:25","1.29"
"2018-09-24 01:30","1.16"
"2018-09-24 01:35","2.23"
"2018-09-24 01:40","1.54"
"2018-09-24 01:45","1.25"
"2018-09-24 01:50","1.26"
"2018-09-24 01:55","1.45"
"2018-09-24 02:00","1.96"
"2018-09-24 02:05","1.57"
"2018-09-24 02:10","1.32"
"2018-09-24 02:15","1.3"
"2018-09-24 02:20","1.45"
"2018-09-24 02:25","2.09"
"2018-09-24 02:30","1.43"
"2018-09-24 02:35","1.32"
"2018-09-24 02:40","1.45"
"2018-09-24 02:45","1.22"
"2018-09-24 02:50","1.82"
"2018-09-24 02:55","1.84"
"2018-09-24 03:00","1.08"
"2018-09-24 03:05","1.44"
"2018-09-24 03:10","1.56"
"2018-09-24 03:15","1.69"
"2018-09-24 03:20","1.51"
"2018-09-24 03:25","1.42"
"2018-09-24 03:30","1.43"
"2018-09-24 03:35","1.41"
"2018-09-24 03:40","1.86"
"2018-09-24 03:45","1.68"
"2018-09-24 03:50","1.28"
"2018-09-24 03:55","1.36"
"2018-09-24 04:00","1.49"
"2018-09-24 04:05","1.69"
"2018-09-24 04:10","1.66"
"2018-09-24 04:15","1.25"
"2018-09-24 04:20","1.44"
"2018-09-24 04:25","1.48"
"2018-09-24 04:30","1.47"
"2018-09-24 04:35","1.87"
"2018-09-24 04:40","1.16"
"2018-09-24 04:45","1.43"
"2018-09-24 04:50","1.86"
"2018-09-24 04:55","1.33"
"2018-09-24 05:00","3.24"
"2018-09-24 05:05","5.24"
"2018-09-24 05:10","5.0"
"2018-09-24 05:15","4.97"
"2018-09-24 05:20","4.87"
"2018-09-24 05:25","4.64"
"2018-09-24 05:30","5.26"
"2018-09-24 05:35","5.01"
"2018-09-24 05:40","5.11"
"2018-09-24 05:45","4.51"
"2018-09-24 05:50","4.83"
"2018-09-24 05:55","5.13"
"2018-09-24 06:00","5.46"
"2018-09-24 06:05","5.78"
"2018-09-24 06:10","5.09"
"2018-09-24 06:15","5.34"
"2018-09-24 06:20","4.93"
"2018-09-24 06:25","5.58"
"2018-09-24 06:30","5.21"
"2018-09-24 06:35","4.85"
"2018-09-24 06:40","4.76"
"2018-09-24 06:45","4.95"
"2018-09-24 06:50","5.77"
